Nome,Idade,Salario,Estado,Data_Admissao,Cargo
Carlos Oliveira,23.0,58660,São Paulo,09/01/2022,Desenvolvedor
Ana Costa,34.0,126200,São Paulo,09/09/2020,Técnico
Fernanda Rocha,36.0,23340,RJ,05/12/2025,Gerente
Camila Martins,60.0,149710,RJ,16/04/2019,Estagiário
João Silva,28.0,147860,Rio de Janeiro,20/05/2024,Desenvolvedor
Ana Costa,61.0,112240,Santa Catarina,16/07/2025,Analista
Fernanda Rocha,35.0,47730,Santa Catarina,13/02/2025,Estagiário
  Maria Souza  ,28.0,72030,Minas Gerais,23/07/2023,Cientista de Dados
Maria Souza,38.0,59350,Minas Gerais,14/07/2022,Analista
Carlos Oliveira,46.0,132400,Paraná,29/04/2018,Analista
Lucas Pereira,44.0,33270,RJ,06/03/2023,Analista
Carlos Oliveira,44.0,97050,Paraná,14/02/2023,Técnico
Pedro Lima,22.0,63260,Minas Gerais,11/09/2023,Gerente
Fernanda Rocha,27.0,91160,Bahia,14/11/2021,Estagiário
Pedro Lima,49.0,24060,São Paulo,14/08/2024,Desenvolvedor
Bruno Almeida,59.0,31150,Minas Gerais,26/12/2023,Cientista de Dados
Lucas Pereira,20.0,119160,São Paulo,29/01/2025,Técnico
Maria Souza,58.0,133320,São Paulo,13/11/2019,Estagiário
Juliana Santos,41.0,88560,São Paulo,16/12/2023,Técnico
Bruno Almeida,57.0,129920,RJ,16/07/2024,Estagiário
Fernanda Rocha,36.0,129010,Bahia,30/10/2018,Técnico
Carlos Oliveira,47.0,67490,RJ,03/06/2023,Estagiário
Carlos Oliveira,19.0,125840,Minas Gerais,02/03/2018,Gerente
Fernanda Rocha,36.0,145090,RJ,14/12/2021,Desenvolvedor
Pedro Lima,58.0,33910,São Paulo,11/12/2022,Gerente
Bruno Almeida,29.0,50890,São Paulo,02/07/2022,Desenvolvedor
Fernanda Rocha,36.0,140310,Minas Gerais,03/04/2023,Analista
Bruno Almeida,53.0,77920,São Paulo,27/02/2018,Estagiário
Camila Martins,42.0,122610,Minas Gerais,27/07/2025,Analista
Camila Martins,32.0,124110,São Paulo,17/03/2023,Cientista de Dados
Carlos Oliveira,49.0,37020,São Paulo,11/01/2024,Técnico
Lucas Pereira,44.0,114220,São Paulo,06/05/2025,Estagiário
Juliana Santos,31.0,90640,Paraná,25/01/2022,Técnico
  João Silva  ,43.0,63200,RJ,06/02/2023,Analista
Juliana Santos,33.0,38630,Santa Catarina,10/09/2018,Técnico
  Pedro Lima  ,56.0,18460,Rio de Janeiro,17/06/2019,Técnico
Maria Souza,48.0,91440,Minas Gerais,28/08/2024,Desenvolvedor
Lucas Pereira,37.0,93040,São Paulo,16/05/2023,Analista
Maria Souza,38.0,117660,São Paulo,01/06/2019,Analista
Camila Martins,51.0,66310,Paraná,15/10/2024,Desenvolvedor
Lucas Pereira,64.0,53220,Minas Gerais,24/07/2020,Estagiário
Maria Souza,65.0,139040,Minas Gerais,28/03/2024,Técnico
Juliana Santos,60.0,140920,Minas Gerais,30/07/2018,Cientista de Dados
Fernanda Rocha,32.0,35730,Minas Gerais,14/02/2022,Desenvolvedor
Camila Martins,57.0,128580,Bahia,30/10/2024,Analista
Maria Souza,65.0,104910,RJ,16/09/2022,Estagiário
Fernanda Rocha,44.0,62750,RJ,12/04/2019,Desenvolvedor
Carlos Oliveira,20.0,54120,Minas Gerais,13/08/2018,Desenvolvedor
Carlos Oliveira,38.0,37650,São Paulo,30/10/2022,Estagiário
Juliana Santos,22.0,83050,São Paulo,18/03/2018,Estagiário
Bruno Almeida,36.0,36870,Minas Gerais,23/08/2021,Analista
Maria Souza,45.0,35340,RJ,09/08/2024,Estagiário
Juliana Santos,28.0,30510,Bahia,13/04/2019,Cientista de Dados
Pedro Lima,33.0,34840,São Paulo,19/03/2020,Gerente
Fernanda Rocha,47.0,141600,Santa Catarina,13/01/2023,Desenvolvedor
Juliana Santos,27.0,90050,São Paulo,17/12/2022,Estagiário
Lucas Pereira,42.0,93810,Santa Catarina,18/06/2018,Desenvolvedor
Fernanda Rocha,51.0,103640,Santa Catarina,30/01/2022,Técnico
João Silva,58.0,124050,Minas Gerais,12/09/2021,Analista
Camila Martins,27.0,72610,São Paulo,11/06/2025,Desenvolvedor
Pedro Lima,56.0,134130,São Paulo,08/04/2024,Gerente
Lucas Pereira,23.0,123840,Minas Gerais,22/01/2022,Desenvolvedor
Fernanda Rocha,30.0,55110,São Paulo,13/11/2018,Técnico
Lucas Pereira,20.0,126450,Minas Gerais,21/06/2019,Desenvolvedor
Pedro Lima,64.0,89700,São Paulo,02/01/2022,Estagiário
Fernanda Rocha,32.0,105490,RJ,06/04/2023,Gerente
Carlos Oliveira,42.0,100390,Bahia,26/10/2019,Estagiário
Juliana Santos,53.0,34800,Bahia,13/03/2021,Analista
Ana Costa,19.0,70210,São Paulo,16/04/2025,Cientista de Dados
Fernanda Rocha,56.0,105820,São Paulo,10/12/2023,Cientista de Dados
Ana Costa,54.0,86250,São Paulo,30/06/2025,Cientista de Dados
Lucas Pereira,53.0,21330,Minas Gerais,28/06/2018,Estagiário
Fernanda Rocha,62.0,96400,São Paulo,16/09/2018,Técnico
Ana Costa,20.0,69700,Rio de Janeiro,20/06/2022,Desenvolvedor
João Silva,59.0,72380,Rio de Janeiro,16/02/2022,Analista
Pedro Lima,49.0,131380,Paraná,28/10/2023,Gerente
Pedro Lima,52.0,66130,Minas Gerais,24/11/2018,Analista
Fernanda Rocha,40.0,91250,São Paulo,15/12/2021,Cientista de Dados
Maria Souza,60.0,122450,Minas Gerais,10/03/2023,Gerente
Fernanda Rocha,20.0,38680,São Paulo,27/03/2025,Técnico
Fernanda Rocha,41.0,78950,Paraná,08/06/2024,Analista
Maria Souza,19.0,138530,São Paulo,22/10/2023,Estagiário
Ana Costa,57.0,64780,Paraná,18/05/2019,Técnico
Maria Souza,61.0,70360,Minas Gerais,23/09/2018,Cientista de Dados
Pedro Lima,41.0,101350,RJ,03/04/2020,Analista
Fernanda Rocha,53.0,39260,Santa Catarina,27/09/2018,Analista
Bruno Almeida,54.0,30080,São Paulo,16/03/2025,Gerente
Pedro Lima,28.0,70860,RJ,27/10/2023,Gerente
Pedro Lima,58.0,67610,Santa Catarina,18/01/2019,Desenvolvedor
Ana Costa,54.0,86250,Santa Catarina,05/05/2018,Cientista de Dados
Pedro Lima,38.0,135690,Minas Gerais,15/11/2021,Cientista de Dados
Pedro Lima,38.0,112640,Minas Gerais,15/10/2019,Técnico
Fernanda Rocha,36.0,105930,São Paulo,01/11/2022,Analista
Bruno Almeida,21.0,111430,Bahia,24/01/2022,Técnico
Camila Martins,61.0,118110,São Paulo,01/02/2019,Técnico
Pedro Lima,56.0,102460,São Paulo,16/11/2024,Gerente
Juliana Santos,50.0,101510,Bahia,12/12/2025,Estagiário
Bruno Almeida,55.0,68400,São Paulo,28/04/2023,Desenvolvedor
João Silva,55.0,96710,São Paulo,20/01/2025,Desenvolvedor
João Silva,54.0,132770,São Paulo,19/03/2018,Técnico
Camila Martins,48.0,138550,São Paulo,20/07/2019,Cientista de Dados
Juliana Santos,29.0,93310,Bahia,16/02/2024,Gerente
Carlos Oliveira,57.0,97320,RJ,16/02/2021,Técnico
Ana Costa,62.0,133500,Paraná,20/05/2023,Gerente
Camila Martins,61.0,106990,Minas Gerais,14/11/2021,Estagiário
Fernanda Rocha,59.0,60010,Paraná,04/07/2020,Técnico
Maria Souza,61.0,144280,São Paulo,04/03/2024,Analista
Ana Costa,36.0,70620,Rio de Janeiro,31/08/2018,Cientista de Dados
João Silva,29.0,86460,São Paulo,15/06/2022,Analista
João Silva,18.0,66880,Santa Catarina,16/03/2019,Desenvolvedor
Pedro Lima,50.0,94680,Rio de Janeiro,07/04/2019,Técnico
Juliana Santos,36.0,111020,RJ,11/07/2024,Técnico
Maria Souza,29.0,41030,Paraná,13/10/2020,Gerente
Carlos Oliveira,55.0,136430,Santa Catarina,12/07/2020,Analista
Pedro Lima,43.0,130400,Bahia,27/06/2021,Cientista de Dados
Ana Costa,26.0,96340,São Paulo,17/10/2024,Estagiário
Ana Costa,33.0,129460,Santa Catarina,23/11/2023,Analista
Lucas Pereira,50.0,51120,Santa Catarina,06/09/2019,Desenvolvedor
Camila Martins,49.0,32890,Bahia,16/08/2018,Estagiário
Lucas Pereira,21.0,29300,Paraná,21/03/2021,Analista
Bruno Almeida,41.0,80660,Paraná,19/03/2022,Estagiário
  Juliana Santos  ,25.0,47240,São Paulo,07/12/2023,Estagiário
Carlos Oliveira,47.0,128340,Bahia,19/12/2023,Estagiário
Maria Souza,20.0,126160,São Paulo,06/03/2018,Desenvolvedor
João Silva,33.0,139330,São Paulo,03/12/2022,Estagiário
Carlos Oliveira,32.0,137850,Santa Catarina,23/06/2024,Gerente
Lucas Pereira,32.0,85750,Rio de Janeiro,09/07/2018,Gerente
Bruno Almeida,53.0,99200,São Paulo,20/03/2025,Gerente
Carlos Oliveira,42.0,48120,Bahia,14/09/2020,Estagiário
Lucas Pereira,44.0,86240,Bahia,04/07/2019,Desenvolvedor
Juliana Santos,23.0,105750,RJ,04/01/2021,Analista
  Camila Martins  ,64.0,128010,Bahia,18/05/2023,Técnico
Ana Costa,65.0,37220,Paraná,20/10/2025,Técnico
Carlos Oliveira,42.0,94390,Bahia,11/01/2022,Cientista de Dados
Fernanda Rocha,38.0,51280,Minas Gerais,23/08/2022,Gerente
Camila Martins,55.0,135960,Minas Gerais,17/09/2019,Gerente
Juliana Santos,34.0,143060,Paraná,13/03/2025,Cientista de Dados
Camila Martins,48.0,126010,Paraná,28/01/2018,Analista
Carlos Oliveira,19.0,100280,Minas Gerais,15/03/2019,Técnico
Juliana Santos,35.0,148240,Minas Gerais,09/03/2022,Analista
Maria Souza,59.0,124470,São Paulo,19/07/2022,Analista
Maria Souza,49.0,89090,Minas Gerais,26/01/2019,Desenvolvedor
Camila Martins,48.0,62410,São Paulo,04/09/2025,Analista
Juliana Santos,19.0,51940,Santa Catarina,29/12/2025,Técnico
Bruno Almeida,61.0,106560,Minas Gerais,28/07/2019,Estagiário
Bruno Almeida,32.0,30450,São Paulo,19/11/2024,Desenvolvedor
Fernanda Rocha,49.0,55370,Minas Gerais,18/03/2022,Desenvolvedor
Carlos Oliveira,33.0,134830,São Paulo,02/01/2021,Analista
Juliana Santos,24.0,32990,São Paulo,27/12/2022,Gerente
Bruno Almeida,18.0,65810,Minas Gerais,13/12/2018,Estagiário
Pedro Lima,61.0,80370,São Paulo,06/01/2021,Técnico
Carlos Oliveira,48.0,146230,São Paulo,27/10/2020,Gerente
Pedro Lima,37.0,19100,Minas Gerais,15/12/2024,Gerente
Camila Martins,26.0,67220,Minas Gerais,18/10/2025,Desenvolvedor
Fernanda Rocha,54.0,146110,RJ,21/03/2022,Gerente
Camila Martins,52.0,47470,Bahia,26/02/2026,Analista
Maria Souza,44.0,128260,Paraná,07/02/2025,Técnico
Maria Souza,46.0,115960,Paraná,30/06/2022,Desenvolvedor
Juliana Santos,62.0,105960,Santa Catarina,15/12/2018,Cientista de Dados
  Camila Martins  ,32.0,91030,Minas Gerais,03/12/2023,Estagiário
Maria Souza,36.0,86150,São Paulo,10/03/2026,Analista
Juliana Santos,48.0,33990,Paraná,24/10/2025,Cientista de Dados
Juliana Santos,59.0,35910,São Paulo,26/09/2020,Cientista de Dados
Ana Costa,43.0,121170,São Paulo,03/08/2025,Técnico
Camila Martins,45.0,81700,São Paulo,29/05/2020,Cientista de Dados
Lucas Pereira,29.0,77930,Minas Gerais,18/02/2023,Técnico
Camila Martins,42.0,118150,Minas Gerais,13/04/2019,Desenvolvedor
Carlos Oliveira,57.0,114690,São Paulo,03/07/2019,Cientista de Dados
Lucas Pereira,42.0,86520,Santa Catarina,12/06/2024,Técnico
Pedro Lima,53.0,45330,Paraná,29/07/2019,Gerente
João Silva,49.0,40360,RJ,19/04/2024,Estagiário
Fernanda Rocha,49.0,45400,São Paulo,07/05/2018,Desenvolvedor
Fernanda Rocha,54.0,139650,Paraná,24/09/2023,Desenvolvedor
Lucas Pereira,20.0,142510,Paraná,14/06/2020,Desenvolvedor
João Silva,46.0,61050,Minas Gerais,04/12/2022,Analista
Juliana Santos,63.0,117980,Minas Gerais,28/11/2024,Técnico
Lucas Pereira,35.0,115780,Bahia,18/08/2021,Técnico
Maria Souza,26.0,140890,Minas Gerais,02/09/2021,Analista
Ana Costa,61.0,82340,Paraná,23/06/2024,Técnico
Maria Souza,43.0,102470,São Paulo,20/02/2022,Cientista de Dados
Maria Souza,64.0,93110,Minas Gerais,30/12/2023,Analista
Carlos Oliveira,39.0,107670,Santa Catarina,07/05/2024,Técnico
Fernanda Rocha,19.0,38350,São Paulo,13/02/2023,Estagiário
Carlos Oliveira,64.0,132590,RJ,08/05/2025,Estagiário
Ana Costa,51.0,129400,Paraná,02/03/2018,Analista
Fernanda Rocha,22.0,55510,Minas Gerais,13/03/2026,Analista
Pedro Lima,44.0,118930,Paraná,22/12/2018,Técnico
João Silva,60.0,67420,RJ,21/10/2024,Desenvolvedor
Ana Costa,49.0,81220,São Paulo,08/09/2023,Técnico
Juliana Santos,26.0,81370,Santa Catarina,02/05/2022,Estagiário
João Silva,55.0,29060,São Paulo,02/06/2020,Gerente
Lucas Pereira,44.0,87390,Minas Gerais,03/08/2025,Analista
Ana Costa,27.0,105880,Minas Gerais,30/07/2024,Estagiário
Bruno Almeida,64.0,57090,São Paulo,20/12/2018,Técnico
Pedro Lima,25.0,20070,São Paulo,16/02/2018,Cientista de Dados
Carlos Oliveira,28.0,78920,São Paulo,01/05/2021,Cientista de Dados
  Camila Martins  ,28.0,78240,São Paulo,26/02/2019,Gerente
João Silva,33.0,25530,São Paulo,18/04/2022,Gerente
João Silva,29.0,54560,Bahia,01/07/2022,Analista
Maria Souza,53.0,92830,São Paulo,01/04/2020,Gerente
Camila Martins,49.0,144580,São Paulo,17/02/2024,Cientista de Dados
João Silva,39.0,18230,Minas Gerais,26/02/2026,Cientista de Dados
João Silva,27.0,134590,Rio de Janeiro,29/06/2018,Analista
Ana Costa,36.0,60760,Minas Gerais,11/10/2025,Estagiário
Pedro Lima,55.0,35850,São Paulo,05/11/2019,Analista
Ana Costa,46.0,68510,Paraná,07/05/2019,Gerente
João Silva,31.0,71700,São Paulo,22/12/2025,Analista
Pedro Lima,19.0,84250,Paraná,03/03/2024,Desenvolvedor
João Silva,32.0,39410,RJ,03/05/2022,Estagiário
Maria Souza,19.0,28560,RJ,22/12/2022,Cientista de Dados
Fernanda Rocha,21.0,45520,Santa Catarina,15/02/2026,Estagiário
Pedro Lima,35.0,63850,Paraná,22/05/2018,Técnico
Lucas Pereira,48.0,27990,São Paulo,18/04/2022,Gerente
Lucas Pereira,19.0,80660,Minas Gerais,09/02/2024,Estagiário
João Silva,38.0,115830,RJ,24/02/2021,Analista
Ana Costa,28.0,34400,RJ,14/09/2020,Cientista de Dados
Ana Costa,54.0,148640,Minas Gerais,13/12/2019,Gerente
Camila Martins,19.0,133250,Minas Gerais,27/04/2024,Desenvolvedor
Lucas Pereira,41.0,29880,Minas Gerais,05/06/2025,Cientista de Dados
Bruno Almeida,58.0,97820,Minas Gerais,12/06/2025,Técnico
Camila Martins,29.0,79990,Rio de Janeiro,21/09/2025,Cientista de Dados
Bruno Almeida,54.0,23300,São Paulo,27/07/2021,Desenvolvedor
Maria Souza,33.0,74820,Minas Gerais,18/02/2025,Técnico
João Silva,34.0,52350,São Paulo,05/10/2018,Cientista de Dados
Bruno Almeida,28.0,85830,Paraná,12/09/2021,Estagiário
Ana Costa,28.0,91930,São Paulo,22/04/2021,Analista
  Bruno Almeida  ,28.0,137920,São Paulo,17/01/2019,Desenvolvedor
Pedro Lima,56.0,89130,São Paulo,19/02/2019,Analista
Maria Souza,37.0,146590,Minas Gerais,27/06/2023,Estagiário
Bruno Almeida,41.0,48560,Paraná,14/12/2020,Analista
Lucas Pereira,54.0,129000,Santa Catarina,08/05/2019,Técnico
Pedro Lima,20.0,87360,São Paulo,19/11/2022,Cientista de Dados
  Maria Souza  ,23.0,81580,Bahia,11/03/2024,Estagiário
Camila Martins,55.0,103610,Minas Gerais,25/08/2022,Analista
Maria Souza,54.0,145720,São Paulo,03/01/2024,Gerente
Fernanda Rocha,20.0,46210,São Paulo,13/08/2019,Estagiário
Juliana Santos,62.0,56920,São Paulo,01/05/2023,Cientista de Dados
Carlos Oliveira,49.0,132060,São Paulo,05/07/2019,Técnico
Bruno Almeida,56.0,123760,São Paulo,15/12/2022,Técnico
Juliana Santos,21.0,102420,São Paulo,28/06/2021,Analista
João Silva,29.0,49580,RJ,18/10/2020,Analista
Fernanda Rocha,50.0,83030,São Paulo,06/05/2018,Cientista de Dados
Camila Martins,31.0,54260,RJ,26/04/2020,Cientista de Dados
João Silva,48.0,39670,São Paulo,04/02/2018,Desenvolvedor
Carlos Oliveira,45.0,79680,Minas Gerais,29/10/2020,Estagiário
Maria Souza,18.0,101800,Minas Gerais,04/05/2025,Desenvolvedor
Carlos Oliveira,58.0,71270,Rio de Janeiro,05/11/2025,Gerente
Ana Costa,21.0,149960,Santa Catarina,29/05/2025,Estagiário
Carlos Oliveira,44.0,84280,Minas Gerais,25/05/2018,Cientista de Dados
Ana Costa,61.0,105590,Paraná,01/08/2022,Cientista de Dados
Carlos Oliveira,24.0,95130,São Paulo,25/11/2020,Cientista de Dados
Juliana Santos,59.0,32630,RJ,07/03/2020,Gerente
Camila Martins,36.0,93980,São Paulo,08/08/2018,Estagiário
Camila Martins,47.0,41460,Minas Gerais,09/01/2020,Cientista de Dados
João Silva,46.0,62810,RJ,18/06/2024,Técnico
Bruno Almeida,43.0,88290,Paraná,20/01/2018,Estagiário
Lucas Pereira,30.0,20930,São Paulo,16/10/2020,Cientista de Dados
Camila Martins,37.0,45360,São Paulo,06/05/2021,Analista
Camila Martins,50.0,45680,São Paulo,22/12/2025,Gerente
Camila Martins,21.0,115300,São Paulo,19/03/2019,Cientista de Dados
Maria Souza,53.0,59400,Paraná,20/09/2019,Cientista de Dados
Lucas Pereira,35.0,120030,Santa Catarina,16/07/2019,Cientista de Dados
Maria Souza,24.0,99540,RJ,29/03/2020,Desenvolvedor
Pedro Lima,20.0,107800,Paraná,19/09/2025,Técnico
Camila Martins,60.0,98950,São Paulo,27/09/2023,Analista
Carlos Oliveira,34.0,94060,São Paulo,17/12/2019,Analista
Maria Souza,24.0,142220,São Paulo,21/07/2019,Analista
Carlos Oliveira,64.0,33220,Minas Gerais,20/01/2020,Gerente
Fernanda Rocha,44.0,124300,São Paulo,27/06/2019,Analista
Camila Martins,48.0,149440,Santa Catarina,30/11/2022,Cientista de Dados
Lucas Pereira,65.0,112470,Santa Catarina,06/07/2025,Técnico
Lucas Pereira,53.0,51890,Paraná,28/01/2022,Gerente
Camila Martins,48.0,135410,São Paulo,28/01/2023,Cientista de Dados
Carlos Oliveira,53.0,103520,Minas Gerais,12/03/2019,Cientista de Dados
Bruno Almeida,24.0,59660,Santa Catarina,08/02/2020,Técnico
Juliana Santos,24.0,142050,Minas Gerais,02/06/2025,Analista
Lucas Pereira,26.0,99720,São Paulo,18/07/2018,Desenvolvedor
Pedro Lima,62.0,112790,São Paulo,10/06/2019,Cientista de Dados
Bruno Almeida,44.0,117770,RJ,18/06/2022,Gerente
Lucas Pereira,37.0,132930,Bahia,25/12/2025,Gerente
Carlos Oliveira,61.0,74570,São Paulo,16/04/2025,Cientista de Dados
Juliana Santos,53.0,96700,Santa Catarina,25/06/2025,Desenvolvedor
Carlos Oliveira,61.0,59050,São Paulo,29/09/2025,Analista
Camila Martins,61.0,139150,Bahia,04/04/2025,Técnico
Fernanda Rocha,32.0,121830,Minas Gerais,17/02/2024,Desenvolvedor
Pedro Lima,61.0,30200,São Paulo,06/10/2023,Técnico
Carlos Oliveira,49.0,147410,Santa Catarina,06/01/2022,Desenvolvedor
Maria Souza,50.0,44110,Minas Gerais,09/01/2024,Desenvolvedor
Juliana Santos,36.0,53790,São Paulo,30/04/2023,Desenvolvedor
Fernanda Rocha,33.0,123220,Santa Catarina,25/09/2020,Desenvolvedor
Bruno Almeida,34.0,106510,Rio de Janeiro,19/10/2023,Analista
Ana Costa,38.0,102190,São Paulo,17/11/2019,Analista
Ana Costa,61.0,87500,São Paulo,01/12/2024,Técnico
Lucas Pereira,22.0,112200,RJ,28/07/2022,Gerente
Carlos Oliveira,56.0,32170,Rio de Janeiro,12/04/2022,Estagiário
Bruno Almeida,52.0,66320,São Paulo,08/06/2025,Gerente
Pedro Lima,25.0,24840,São Paulo,09/09/2024,Desenvolvedor
Juliana Santos,31.0,85600,Bahia,22/10/2019,Técnico
Camila Martins,49.0,72200,Minas Gerais,07/12/2025,Técnico
Fernanda Rocha,46.0,71790,Santa Catarina,06/06/2021,Cientista de Dados
Bruno Almeida,28.0,18790,Minas Gerais,26/06/2020,Técnico
Juliana Santos,48.0,93830,Paraná,05/06/2021,Gerente
Pedro Lima,52.0,50180,Rio de Janeiro,10/01/2025,Cientista de Dados
Camila Martins,55.0,84370,Santa Catarina,31/05/2018,Técnico
Pedro Lima,41.0,82300,RJ,06/04/2021,Desenvolvedor
Ana Costa,57.0,130090,São Paulo,29/07/2019,Desenvolvedor
Pedro Lima,65.0,137930,Paraná,15/06/2018,Gerente
Ana Costa,51.0,147670,Minas Gerais,08/04/2023,Estagiário
Lucas Pereira,58.0,62800,Rio de Janeiro,02/08/2024,Desenvolvedor
Maria Souza,51.0,59210,Minas Gerais,17/10/2023,Técnico
Juliana Santos,56.0,135520,São Paulo,01/08/2020,Cientista de Dados
Ana Costa,55.0,44410,Minas Gerais,25/09/2020,Analista
  Camila Martins  ,27.0,27160,São Paulo,01/08/2020,Gerente
Carlos Oliveira,23.0,53480,Paraná,15/04/2023,Desenvolvedor
Pedro Lima,57.0,126070,Bahia,18/11/2019,Gerente
Bruno Almeida,42.0,39660,São Paulo,04/08/2020,Analista
Maria Souza,29.0,95960,Santa Catarina,06/09/2018,Desenvolvedor
Camila Martins,52.0,18190,Minas Gerais,20/09/2022,Desenvolvedor
Fernanda Rocha,42.0,75420,Santa Catarina,24/10/2025,Cientista de Dados
Ana Costa,62.0,149770,Minas Gerais,23/01/2022,Estagiário
Bruno Almeida,54.0,77900,Santa Catarina,19/08/2025,Gerente
Juliana Santos,53.0,108910,Paraná,06/10/2021,Gerente
Maria Souza,65.0,55640,Paraná,25/10/2019,Cientista de Dados
João Silva,28.0,81750,São Paulo,19/08/2019,Analista
Maria Souza,56.0,24180,Minas Gerais,19/11/2024,Estagiário
Pedro Lima,58.0,98990,Paraná,04/06/2020,Analista
Carlos Oliveira,43.0,75850,Minas Gerais,28/07/2024,Estagiário
Carlos Oliveira,64.0,109600,Santa Catarina,24/11/2021,Gerente
Carlos Oliveira,52.0,147980,Santa Catarina,14/10/2025,Gerente
Fernanda Rocha,61.0,93480,Santa Catarina,29/05/2023,Analista
Ana Costa,38.0,85570,Minas Gerais,04/01/2024,Desenvolvedor
Juliana Santos,22.0,108850,São Paulo,09/07/2021,Estagiário
Ana Costa,49.0,138760,RJ,18/09/2020,Técnico
Pedro Lima,24.0,37640,São Paulo,10/06/2025,Cientista de Dados
